tokeniser_type,delta,vocab_size,oov_rate
AbsTokens,32,50000,0.00429898058087295
AbsTokens,32,55000,0.004338817331344263
AbsTokens,32,60000,0.004383739663476492
AbsTokens,32,65000,0.004429803051152183
AbsTokens,32,70000,0.004474554176888375
AbsTokens,32,75000,0.004519520417827612
AbsTokens,32,80000,0.004557557973128915
AbsTokens,32,85000,0.004584592204602687
AbsTokens,32,90000,0.004608511922021782
AbsTokens,32,95000,0.0046289790320362964
AbsTokens,32,100000,0.004650271027634398
RelTokens,8,15000,0.002988660803211729
RelTokens,8,20000,0.003229351909088125
RelTokens,8,25000,0.003357484318042625
RelTokens,8,30000,0.003443880052596178
RelTokens,8,35000,0.003511478766180072
RelTokens,8,40000,0.003564680970976477
RelTokens,8,45000,0.003608314628494641
RelTokens,8,50000,0.00364367340107574
RelTokens,8,55000,0.0036741299649565165
RelTokens,8,60000,0.0036999212391101697
RelTokens,8,65000,0.0037246155468364413
RelTokens,8,70000,0.0037407567741404826
RelTokens,8,75000,0.003758808663555697
RelTokens,8,80000,0.0037728059111636026
RelTokens,8,85000,0.0037887666146176114
RelTokens,8,90000,0.0038040217318797073
RelTokens,8,95000,0.003818032754711708
RelTokens,8,100000,0.0038311934402279245
RelTokens,16,5000,0.0012295564592007544
RelTokens,16,10000,0.0015846761640706446
RelTokens,16,15000,0.0016804675407561733
RelTokens,16,20000,0.0017345795018143446
RelTokens,16,25000,0.0017718511578354303
RelTokens,16,30000,0.0017995041469690907
RelTokens,16,35000,0.0018224101506307472
RelTokens,16,40000,0.0018381781544678864
RelTokens,16,45000,0.0018555111572505338
RelTokens,16,50000,0.0018652038117264239
RelTokens,16,55000,0.0018706130221856905
RelTokens,16,60000,0.001881738390844202
RelTokens,16,65000,0.0018925565799854465
RelTokens,16,70000,0.0019015715780370628
RelTokens,16,75000,0.0019102311257514037
RelTokens,16,80000,0.0019170507478775967
RelTokens,16,85000,0.0019198594592573172
RelTokens,16,90000,0.001922257425724099
RelTokens,16,95000,0.0019245949030331912
RelTokens,16,100000,0.0019258542907216478
RelTokens,32,5000,0.0007547229746229391
RelTokens,32,10000,0.0008186552822730403
RelTokens,32,15000,0.00084955167147812
RelTokens,32,20000,0.0008708011102344848
RelTokens,32,25000,0.000885279942158234
RelTokens,32,30000,0.0008942503414557848
RelTokens,32,35000,0.0009060451723053131
RelTokens,32,40000,0.0009103022032498218
RelTokens,32,45000,0.0009134904243597735
RelTokens,32,50000,0.0009213311446685331
RelTokens,32,55000,0.0009282200719462918
RelTokens,32,60000,0.0009341383169325763
RelTokens,32,65000,0.0009369872157540259
RelTokens,32,70000,0.0009387007398527393
RelTokens,32,75000,0.0009397827435026396
RelTokens,32,80000,0.0009405226358854902
RelTokens,32,85000,0.0009412598287907367
RelTokens,32,90000,0.0009422456085201349
RelTokens,32,95000,0.0009428650271340026
RelTokens,32,100000,0.0009435877117942797
