epoch,dataset,run,val_epoch_ce,val_epoch_nll
0,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.317865455851836,
1,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.308589949327357,
2,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.302263273912318,
3,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.298105688656078,
4,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.297001614290125,
5,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.295767489601584,
6,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.287977022283218,
7,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.286074932883768,
8,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.282260123421164,
9,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.27198509608998,
10,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.268798084820018,
11,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.264524894602158,
12,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.247862745733822,
13,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.224567048689899,
14,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.188690494088566,
15,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.165403604507446,
16,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.134459411396699,
17,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.128582912332871,
18,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.104732064639821,
19,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.097152471542358,
20,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.086824992123772,
21,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.079374046886668,
22,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.0726758592269,
23,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.07418405308443,
24,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.070566570057588,
25,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.063050073735854,
26,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.0537105307859544,
27,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.053359746932983,
28,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.047696295906515,
29,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.044771643245921,
30,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.041480162564446,
31,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.035266062792609,
32,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.033355909235337,
33,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.033445035710054,
34,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.030545108458575,
35,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.025245961020975,
36,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.0283015756046066,
37,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.020546702777638,
38,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.023146489087273,
39,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.014885341419893,
40,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.01686021860908,
41,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",5.011007308959961,
