tokeniser_type,delta,vocab_size,oov_rate
AbsTokens,16,40000,0.003009425064519144
AbsTokens,16,45000,0.0030404235203346478
AbsTokens,16,50000,0.0030662405877244286
AbsTokens,16,55000,0.003089384342494345
AbsTokens,16,60000,0.0031088451008377763
AbsTokens,16,65000,0.0031266141074499584
AbsTokens,16,70000,0.003143727601927358
AbsTokens,16,75000,0.0031607954039331605
AbsTokens,16,80000,0.003175592256844848
AbsTokens,16,85000,0.0031895510540263326
AbsTokens,16,90000,0.0032035640085536564
AbsTokens,16,95000,0.0032193782933055003
AbsTokens,16,100000,0.0032293061334168916
AbsTokens,32,15000,0.0012616767105421394
AbsTokens,32,20000,0.0013118973605957263
AbsTokens,32,25000,0.0013517838921284116
AbsTokens,32,30000,0.0013863983439119621
AbsTokens,32,35000,0.0014167598846280723
AbsTokens,32,40000,0.0014426176446840652
AbsTokens,32,45000,0.001465465235689798
AbsTokens,32,50000,0.0014921451462232358
AbsTokens,32,55000,0.0015119263904818873
AbsTokens,32,60000,0.0015214574527787864
AbsTokens,32,65000,0.0015387606874545316
AbsTokens,32,70000,0.0015583459771206407
AbsTokens,32,75000,0.0015646086716835145
AbsTokens,32,80000,0.0015724951829620003
AbsTokens,32,85000,0.0015914249196265532
AbsTokens,32,90000,0.0015966966699452866
AbsTokens,32,95000,0.00160307438395435
AbsTokens,32,100000,0.00160966159712713
RelTokens,2,60000,0.010482353298305302
RelTokens,2,65000,0.011023281409126999
RelTokens,2,70000,0.011411140133132129
RelTokens,2,75000,0.011714546284112564
RelTokens,2,80000,0.011965519184608928
RelTokens,2,85000,0.012174975171111043
RelTokens,2,90000,0.0123576422566281
RelTokens,2,95000,0.012516332124077883
RelTokens,2,100000,0.012656805303364771
RelTokens,4,30000,0.005446352410033399
RelTokens,4,35000,0.00592340291947165
RelTokens,4,40000,0.006161107706572873
RelTokens,4,45000,0.006321804961582523
RelTokens,4,50000,0.006442575089065482
RelTokens,4,55000,0.006535605457860455
RelTokens,4,60000,0.00661105294262269
RelTokens,4,65000,0.006678317145170583
RelTokens,4,70000,0.0067394521561179675
RelTokens,4,75000,0.006785202843560921
RelTokens,4,80000,0.006823308444343428
RelTokens,4,85000,0.0068681714192227045
RelTokens,4,90000,0.006904578502170635
RelTokens,4,95000,0.006931452031281201
RelTokens,4,100000,0.006954436506850158
RelTokens,8,15000,0.0030073383530590586
RelTokens,8,20000,0.003251561535347122
RelTokens,8,25000,0.003382902490101101
RelTokens,8,30000,0.003469752413360069
RelTokens,8,35000,0.0035362927784567677
RelTokens,8,40000,0.0035900773198875766
RelTokens,8,45000,0.0036332983860933
RelTokens,8,50000,0.0036681667637593496
RelTokens,8,55000,0.0036989095471249974
RelTokens,8,60000,0.0037249216376647313
RelTokens,8,65000,0.003749122965205404
RelTokens,8,70000,0.0037649679605118386
RelTokens,8,75000,0.0037836329488872378
RelTokens,8,80000,0.00379791370089993
RelTokens,8,85000,0.0038132995727149987
RelTokens,8,90000,0.0038281831471520594
RelTokens,8,95000,0.0038426843257717298
RelTokens,8,100000,0.003856363438702997
RelTokens,16,5000,0.0011926839437617876
RelTokens,16,10000,0.0015320244256660637
RelTokens,16,15000,0.0016235264408494335
RelTokens,16,20000,0.0016769536084746408
RelTokens,16,25000,0.0017133306105873544
RelTokens,16,30000,0.0017405198856230424
RelTokens,16,35000,0.001762760669224661
RelTokens,16,40000,0.0017770395317491328
RelTokens,16,45000,0.0017928822455135808
RelTokens,16,50000,0.0018020725092980608
RelTokens,16,55000,0.0018072756614898656
RelTokens,16,60000,0.0018179023841913187
RelTokens,16,65000,0.0018290757996441
RelTokens,16,70000,0.00183830504364665
RelTokens,16,75000,0.0018459414732631258
RelTokens,16,80000,0.0018527188423518813
RelTokens,16,85000,0.0018558075293169925
RelTokens,16,90000,0.0018587761151998292
RelTokens,16,95000,0.0018606236669657882
RelTokens,16,100000,0.00186185687490483
RelTokens,32,5000,0.0007357862413512364
RelTokens,32,10000,0.0008002523472143398
RelTokens,32,15000,0.0008313898375905536
RelTokens,32,20000,0.0008517574149004535
RelTokens,32,25000,0.0008658362999608721
RelTokens,32,30000,0.0008746037025620587
RelTokens,32,35000,0.0008852818286043775
RelTokens,32,40000,0.0008899688905499019
RelTokens,32,45000,0.0008934840982089406
RelTokens,32,50000,0.0009008422639529193
RelTokens,32,55000,0.0009073449476298094
RelTokens,32,60000,0.0009122926843808583
RelTokens,32,65000,0.0009149132971698807
RelTokens,32,70000,0.0009163377964005375
RelTokens,32,75000,0.0009176659254229576
RelTokens,32,80000,0.0009186217200943077
RelTokens,32,85000,0.0009193576840375791
RelTokens,32,90000,0.0009203832963028281
RelTokens,32,95000,0.0009208578417917101
RelTokens,32,100000,0.0009219958523142961
